Fall 2018,,,,,,,,,,,,,,,,,,,,,,
Subject,CatalogNbr,ClassDescr,Section,Instructor,Consent,EnrlCap,TopicDescr,MeetingStartDt,MeetingEndDt,FacilityId,MeetingTimeStart,MeetingTimeEnd,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,UnitsMin,UnitsMax,ClassAssnComponent
CIS,730,Artificial Intellign,ZB,"Hsu,William Henry",No Special Consent Required,20, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,REC
CIS,751,Cmptr/Inf Security,A,"Amariucai,George",No Special Consent Required,25, ,8/20/2018,12/7/2018,DUE0093,3:55 PM,5:10 PM,N,Y,N,Y,N,N,N,3,3,REC
CIS,751,Cmptr/Inf Security,ZA,"Amariucai,George",No Special Consent Required,20, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,REC
CIS,771,Software Specificatn,A,"Robby,-",No Special Consent Required,30, ,8/20/2018,12/7/2018,D207,9:30 AM,10:45 AM,N,Y,N,Y,N,N,N,3,3,LEC
CIS,771,Software Specificatn,ZA,"Robby,-",No Special Consent Required,25, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,LEC
CIS,775,Analysis/Algorithms,A,"Amtoft,Torben",No Special Consent Required,30, ,8/20/2018,12/7/2018,DUR1061,1:05 PM,2:20 PM,N,Y,N,Y,N,N,N,3,3,REC
CIS,798,Top/Computer Science,A,"Amtoft,Torben",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,B,"Andresen,Daniel A",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,C,"Caragea,Doina",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,E,"DeLoach,Scott A",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,G,"Hatcliff,John",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,H,"Howell,Rodney R",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,J,"Mizuno,Masaaki",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,K,"Neilsen,Mitchell L",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,L,"Munir,Arslan",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,M,"Robby,-",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,N,"Ranganath,Venkatesh",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,O,"Prabhakar,Pavithra",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,P,"Vasserman,Eugene Y",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
CIS,798,Top/Computer Science,S,"Hsu,William Henry",No Special Consent Required,20,Top/Adv PRG Big Data Anlytics,8/20/2018,12/7/2018,DUE1116,12:30 PM,1:20 PM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,798,Top/Computer Science,Q,"Weese,Joshua Levi",No Special Consent Required,10,Top/Vary By Student,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,18,IND
